"Comas";"Ile";"Sexe";"TrancheAge";"CS8";"Menages";"Individus";"Depenses";"Ressources";"DMM"
"Afaahiti";"Tahiti";"Femme";"0 - 13 ans";"Moins de 13 ans";;757,728840096992;30978016,4155383;65764390,259015;
"Afaahiti";"Tahiti";"Femme";"14 - 19 ans";"Chômeur inactif";;356,404227234405;51675187,7146497;34042409,5788809;
"Afaahiti";"Tahiti";"Femme";"20 - 29 ans";"Artisan chef d'ent.";;22,7153931930724;1996039,74901522;23714870,4935676;
"Afaahiti";"Tahiti";"Femme";"20 - 29 ans";"Profess. interméd.";;19,474632997565;672172,087762983;43817924,2445212;
"Afaahiti";"Tahiti";"Femme";"20 - 29 ans";"Employé";;41,2154563829307;3824616,2276213;61319171,2079255;
"Afaahiti";"Tahiti";"Femme";"20 - 29 ans";"Ouvrier";;25,8766028214317;4835119,78483345;10221258,1144655;
"Afaahiti";"Tahiti";"Femme";"20 - 29 ans";"Chômeur inactif";22,0520305508519;356,032908619151;42712166,0651434;36450302,6823445;161406,77675407
"Afaahiti";"Tahiti";"Femme";"30 - 39 ans";"Profess. interméd.";;20,2202760943501;1803557,23026958;72923212,517708;
"Afaahiti";"Tahiti";"Femme";"30 - 39 ans";"Employé";21,7790418091974;65,025918262106;33540682,1087408;86690686,9840468;128336,997875393
"Afaahiti";"Tahiti";"Femme";"30 - 39 ans";"Chômeur inactif";151,245209537952;283,823067596499;275485649,464415;20596982,4796249;151787,534464735
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Artisan chef d'ent.";;92,4296750755397;9287913,52553254;105323266,789961;
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Cadre supérieur";41,9993179035474;41,9993179035474;83829503,2155599;146867670,021388;166331,080677859
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Profess. interméd.";25,8152111828188;88,4085359734301;266179201,877818;292742581,509227;859245,349549868
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Employé";21,1156791669769;44,5472143403018;31699566,407089;60773847,5850758;125102,797453722
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Ouvrier";;18,6205620682546;229533,430237608;14524038,4132386;
"Afaahiti";"Tahiti";"Femme";"40 - 49 ans";"Chômeur inactif";45,8410692575793;135,10565789119;78560179,2959544;46502052,881085;142812,585177947
"Afaahiti";"Tahiti";"Femme";"50 - 59 ans";"Artisan chef d'ent.";19,474632997565;61,7647693448166;62967314,2865426;81690959,899838;269441,595700484
"Afaahiti";"Tahiti";"Femme";"50 - 59 ans";"Cadre supérieur";22,4095340842544;22,4095340842544;196490944,709827;151936641,091245;730682,098562263
"Afaahiti";"Tahiti";"Femme";"50 - 59 ans";"Profess. interméd.";24,0691685058645;87,8093097947777;78920586,4873515;353600001,712101;273242,32405495
"Afaahiti";"Tahiti";"Femme";"50 - 59 ans";"Retraité";;84,8176020320584;12388967,2138158;258483424,175847;
"Afaahiti";"Tahiti";"Femme";"50 - 59 ans";"Chômeur inactif";26,1995789393497;163,188950000573;51105161,6667398;61691418,5079102;162550,836488139
"Afaahiti";"Tahiti";"Femme";"60 ans +";"Retraité";109,615401632326;194,454578980364;212556915,078362;413479069,514181;161592,951289305
"Afaahiti";"Tahiti";"Femme";"60 ans +";"Chômeur inactif";38,4886826858703;38,4886826858703;117046756,291103;84145520,1294294;253422,452443994
"Afaahiti";"Tahiti";"Homme";"0 - 13 ans";"Moins de 13 ans";;884,998419369325;50308943,9089092;59086409,844024;
"Afaahiti";"Tahiti";"Homme";"14 - 19 ans";"Chômeur inactif";;268,188537653029;21899997,4016315;18578055,0003011;
"Afaahiti";"Tahiti";"Homme";"20 - 29 ans";"Profess. interméd.";;47,673419727096;62347595,2963147;124343890,757483;
"Afaahiti";"Tahiti";"Homme";"20 - 29 ans";"Employé";;25,8766028214317;834261,674962958;15525961,692859;
