"Comas";"Ile";"Sexe";"TrancheAge";"CS8";"Menages";"Individus";"ResidencesPrincipales";"PopMoyenneMenage"
"Anaa";"Anaa";"Hommes";"0-9 ans";"Né après le 22/08/1998";;50;;
"Anaa";"Anaa";"Hommes";"10-19 ans";"Agriculteurs exploitants";1;3;1;5
"Anaa";"Anaa";"Hommes";"10-19 ans";"Sans emploi";;20;;
"Anaa";"Anaa";"Hommes";"10-19 ans";"Né après le 22/08/1998";;19;;
"Anaa";"Anaa";"Hommes";"20-29 ans";"Agriculteurs exploitants";8;18;8;4,375
"Anaa";"Anaa";"Hommes";"20-29 ans";"Employés";4;4;4;4,5
"Anaa";"Anaa";"Hommes";"20-29 ans";"Ouvriers";4;6;4;5,5
"Anaa";"Anaa";"Hommes";"20-29 ans";"Sans emploi";9;27;9;3,11111111111111
"Anaa";"Anaa";"Hommes";"30-39 ans";"Agriculteurs exploitants";9;12;9;4,22222222222222
"Anaa";"Anaa";"Hommes";"30-39 ans";"Artisans, commerçants et chefs d'entreprise";1;1;1;3
"Anaa";"Anaa";"Hommes";"30-39 ans";"Employés";5;5;5;3,6
"Anaa";"Anaa";"Hommes";"30-39 ans";"Ouvriers";6;7;6;5,16666666666667
"Anaa";"Anaa";"Hommes";"30-39 ans";"Sans emploi";10;20;10;4,7
"Anaa";"Anaa";"Hommes";"40-49 ans";"Agriculteurs exploitants";8;8;8;3,75
"Anaa";"Anaa";"Hommes";"40-49 ans";"Artisans, commerçants et chefs d'entreprise";1;1;1;4
"Anaa";"Anaa";"Hommes";"40-49 ans";"Professions intermédiaires";1;1;1;2
"Anaa";"Anaa";"Hommes";"40-49 ans";"Employés";2;2;2;4
"Anaa";"Anaa";"Hommes";"40-49 ans";"Ouvriers";6;6;6;4,33333333333333
"Anaa";"Anaa";"Hommes";"40-49 ans";"Sans emploi";2;6;2;2,5
"Anaa";"Anaa";"Hommes";"50-59 ans";"Agriculteurs exploitants";3;3;3;8
"Anaa";"Anaa";"Hommes";"50-59 ans";"Artisans, commerçants et chefs d'entreprise";3;3;3;3,66666666666667
"Anaa";"Anaa";"Hommes";"50-59 ans";"Cadres et professions intellectuelles supérieures";1;1;1;1
"Anaa";"Anaa";"Hommes";"50-59 ans";"Employés";2;3;2;4
