"Comas";"Ile";"TrancheAge";"Sexe";"StatutMarital";"StatutOccupation";"StatutMaritalFreq";"AgeMin";"AgeMax"
"Afaahiti";"Tahiti";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,500739644970414;0;13
"Afaahiti";"Tahiti";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,499260355029586;0;13
"Afaahiti";"Tahiti";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,471153846153846;14;19
"Afaahiti";"Tahiti";"14 - 19 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,528846153846154;14;19
"Afaahiti";"Tahiti";"20 - 29 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,507584597432906;20;29
"Afaahiti";"Tahiti";"20 - 29 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,492415402567095;20;29
"Afaahiti";"Tahiti";"30 - 39 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,525510204081633;30;39
"Afaahiti";"Tahiti";"30 - 39 ans";"Homme";"Célibataire";"Propriétaire du sol et du logement";0,474489795918367;30;39
"Afaahiti";"Tahiti";"40 - 49 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,484118291347207;40;49
"Afaahiti";"Tahiti";"40 - 49 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,515881708652793;40;49
"Afaahiti";"Tahiti";"50 - 59 ans";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,48314606741573;50;59
"Afaahiti";"Tahiti";"50 - 59 ans";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,51685393258427;50;59
"Afaahiti";"Tahiti";"60 ans +";"Femme";"Marié(e)";"Propriétaire du sol et du logement";0,476422764227642;60;150
"Afaahiti";"Tahiti";"60 ans +";"Homme";"Marié(e)";"Propriétaire du sol et du logement";0,523577235772358;60;150
"Afaahiti";"Tahiti";;"Femme";"Marié(e)";"Propriétaire du sol et du logement";1;;150
"Afareaitu";"Moorea";"0 - 13 ans";"Femme";"Non concerné";"Propriétaire du sol et du logement";0,472292191435768;0;13
"Afareaitu";"Moorea";"0 - 13 ans";"Homme";"Non concerné";"Propriétaire du sol et du logement";0,527707808564232;0;13
"Afareaitu";"Moorea";"14 - 19 ans";"Femme";"Célibataire";"Propriétaire du sol et du logement";0,484240687679083;14;19
